owner_mid,fan
51149308,91199
298722525,1239
29977081,332728
273417396,5233
262351605,1245
321364045,9620
8307433,2282
9125849,20793
4468444,85939
6655892,194806
8510563,8863
175631,341756
5755039,66752
5676753,277984
308692646,968
60639484,119124
158045771,69157
365974070,4530
321561969,28464
357234084,176
185577593,52228
348299009,55
237429943,137197
297615872,30813
263544963,29024
321033407,0
384304016,292
27218150,1322234
350898556,6969
97693791,38137
28194797,154
37254001,645
230246679,128153
350899343,1731
322427495,2655
406471037,1
387665541,2021
97141607,65
172461648,83577
387904916,3716
343084292,15954
371588694,646
403624978,4
75032106,75
393326477,550
404617813,14
15176781,1132
33741128,3
301399669,657
386186788,50212
103292705,1652
382730202,86
10057578,4
10119428,606559
385062497,2664
7962954,1829
178843680,28386
361003967,16
384215045,166
14235376,19529
68412710,396575
356324812,21060
308950035,12042
322287457,12307
7720005,1793
107637924,76536
345646449,1516
294856351,33041
367353717,25
336797279,3402
161490231,10866
389555356,137
122490316,88644
325148329,1977
350897187,3006
380783061,8190
405022842,23
385173378,48
384420368,1331
360693774,43
105113283,94362
315272063,61908
359133827,63
322040642,2
392317175,13
384410703,1335
300797003,65
319908035,1004
49712825,37644
8487184,21
6803265,3
273386498,16324
350841701,91
281469972,3
389439164,1
286746860,10844
398905173,68
51890387,810
293620140,12
404056412,17
7710154,9
260101286,1
388692801,24
364315795,170
290039963,13040
385169990,115
42654931,4
395611066,9
276562819,2160
362395675,247
2494352,17
29755151,165269
206191087,0
318148705,2
284290767,261
394864959,9
378767867,2418
217479998,68122
355803064,2
112686820,267
364320588,27
360606768,9
309287937,40
21892789,16
17221410,222712
299200508,665
332998090,1092
393237785,562
387898408,34328
35372675,416846
11147438,132329
37781521,185646
98206567,37131
95501491,1172
86681187,0
27889870,1
4543564,2214
50414548,65342
403729339,772
52139814,296089
351971871,0
332848364,199
320599405,20484
355806839,2041
14213895,12
324056960,594
403192029,20
268819811,94145
406487804,4
34286963,22487
396846481,68
348989367,74005
38049694,3029
318014727,3
56274025,96549
384500266,198
18373020,11778
389628099,1
278462087,175378
164715833,491043
350672535,30
368223054,262
233888152,22935
406471536,2
199841573,40714
298756909,41646
210236153,24790
28822840,76126
334129151,1693
397336953,66
207886563,5
260701827,78140
274582883,62896
21011141,1365
379002144,914
105897052,1
88062069,2
333502118,1
167706583,5
22639814,29592
97711134,10
364332463,511
318039832,101
364266443,360
292670251,1
384403528,1335
338494476,656
364283370,1083
272521661,3562
21880369,0
21763994,287
284864219,40452
369577076,0
392962833,37
397311747,41
406599002,5
399958965,20
354545392,13345
402638744,57
365481649,2
109434505,8
265187727,1512
358497368,2869
385787448,124
11099044,64817
406799620,1
329515339,6218
63044058,1
286484646,1
300561465,448
230202918,81833
161963399,14761
96094291,172929
31960559,12
405035222,0
310829767,35188
17784088,4196
167202533,314027
406261837,111
35329309,1157
307367742,126248
20325715,78185
358772554,32
316907952,0
182366913,1
350031561,80
388035211,238
13754317,171
279927341,10513
73509585,62012
96099989,1570
390914052,1
15860464,0
185769179,1524
385174824,4
383507909,69
94577124,9763
258878216,3241
6558851,2171
1737814,2000
237115616,21046
400292660,23
270470852,13308
26059294,1814
219973548,41136
374309846,2068
274284147,102737
26227675,4586
290780234,16
395991094,660
29290991,39
404164673,17
315245086,26
364485048,0
299161994,156
386624289,400
288603520,76188
364296716,192
34648118,43
26122040,57
393210627,420
6739643,435353
392744112,50
391414739,98
378769398,10228
162599728,17981
275928534,5682
28922022,27966
384824083,337
376273112,3669
253167558,6
82366241,284470
358807,3049
21555351,31946
352829427,22
384971006,17295
259856184,236
357666433,15219
323940205,22267
398859166,5
143430595,275730
305119869,2930
350895942,787
391762489,74
330833698,2211
31774798,31558
108095522,93453
38465834,433
46707930,3287
27785817,159165
178647727,31647
74049727,37
385429366,5582
314529832,2298
104162630,45414
387783438,1068
299311144,589
224758466,82237
8221093,53
28033322,254
337017013,923
362748646,61
10510959,38740
396473865,64
302423565,87
365888103,657
113310547,457
242020511,115265
228390250,14075
378486320,9379
240769971,361316
97241763,38718
389889109,9
387380754,34
342481304,59
233644726,14860
114311818,16
305124712,119893
334360471,1020
389745715,116
200277291,48
251075491,27030
300274536,1306
300408171,2340
30801091,3205
365217260,2572
389318399,2
37375800,1125
391875721,3009
32919867,4
403841878,3
360616444,13156
631053,67121
402949950,161
300052568,0
403701011,76
64664296,17
23015716,11
287566885,29749
404719721,1
35360848,60
13802310,14
47793529,4910
390208890,59
404731665,44
188807182,4972
169543286,9
388703903,6
384828001,5
340826496,2486
406600976,0
356108761,66715
1920253,117916
381417429,4
383495525,15715
382501007,10617
397316622,5505
333711867,6873
402248221,9
295624737,61
3776492,5
86229289,1
395507706,552
228865231,80
399861140,28
298532701,0
294458759,39942
402630993,16
399125276,174
406741399,0
368036428,711
393611828,1
406740639,2
403486557,2
291595967,23856
41464056,0
16315863,66903
267690094,86
391473032,342
203336830,13495
390468110,65
162841674,39
84115894,0
352774033,3905
119184550,17248
397285101,36
349011372,133376
299641793,5094
20390002,7
399564258,938
318078497,55519
388919821,205
385151089,7508
65787591,300
22295135,30532
283663702,2
547530,357
17171755,173911
87525194,6326
261524743,3
116194108,0
15531792,301
2390247,457922
32871006,47650
389687958,159
313707671,31
376306438,1826
206840230,369743
17171565,663543
299718512,5
254576906,107886
397325753,41
394832269,2902
379552425,44
98605231,129678
277040878,26952
50051285,1151
18811545,213
300210701,3759
86682350,4
97210148,1321
254517512,33732
76679333,12
4668480,9553
32475781,0
403643046,13
28342170,38791
289434637,4961
14333871,655413
383659094,6113
219328040,84672
270355850,63
315945219,13986
114444210,6
300372272,9437
85245981,1
253584248,53586
301387022,16342
406041731,0
210375545,20974
363329517,2
24582139,2
95508929,75783
31772466,27
314415295,35961
389630137,31
69221252,169522
50940377,99
49246269,4151
97698847,58603
251325483,17713
405836795,2
232482938,88042
306541386,6961
343875653,190
8954825,1086
394517512,77
403272924,8
277057638,586
291051169,51829
396689329,12981
8836346,8533
28622133,19244
22225140,39
290324035,2307
385801984,959
19755629,8
303571626,52578
382585650,11
162759043,11037
359446768,484
46387809,3378
121895315,7664
8977469,6
154021609,454988
37162890,188218
79061224,1234797
394242906,29
22502894,237
272562686,17468
23890469,1
33556492,1244
335317395,121
18124905,2963
275183272,51
383456489,1
357613923,204
323800846,5236
386436245,112
396663109,7
364945351,4475
406461651,0
390930292,6
207381389,54912
149558293,400732
273372444,21509
362569013,14
291118224,6841
240217689,26582
6670828,0
253784452,32701
88447273,66
303995002,8
326122785,7823
200429300,91761
375721232,784
57734177,1
94281836,123646
383899536,387
326987051,0
389087379,953
256232614,34
404877047,66
243787592,63215
281966615,1
388696047,6624
93656460,67468
299973683,67478
402896516,17
298509900,1305
224642640,0
53079623,11
278569215,257
85298451,1073
389392572,591
41288240,2378
400915281,2497
37434347,44
315470838,15703
360720325,39
97668149,457
131715927,77
362807584,7
346346217,887
35903247,8976
58852835,704129
180552813,92
10272150,0
392812529,89
314532250,35879
41590328,1306
222614252,22049
386247492,26
50952087,452215
321788640,7
403911763,62
43912005,59117
389514169,9
250507153,27
347235,12888
33918534,1207
381513327,56
16651013,74568
178804332,83757
259801027,7571
4596663,9
52332558,66
1413434,58
370215402,241
2007422,648
357612754,2
39603933,143
11868981,8069
177838334,7
6672628,23
404243065,0
2762828,50
403928903,2
382686347,0
357925129,0
324722916,5069
23345127,93
384096417,572
392251766,59
394218428,155
106728115,8371
404243446,2
403797278,1
357064932,12329
94482570,19729
385871407,58
362767725,109231
403828215,1
325082124,17
306848997,19412
387996175,19
95445590,13844
28278401,5535
328210720,4115
296826242,1517
284654871,1101
35322395,2220
389156758,18
311475347,26499
16046427,1
354812444,1566
104496236,150757
189065998,1838
26403323,7329
368090161,920
392189847,120
17223352,107284
395962273,8
20485327,4889
17319014,26861
215073099,55341
26690025,0
108425972,357806
20823871,71413
19807545,5211
7415333,477
332987852,1418
40857648,155206
111672231,18
6313329,192
392229498,12
399246220,1516
326887575,351
286979096,10
357353256,366
15987907,982
66333379,7
406416014,91
11008698,693
2452887,3
2166927,1947
13205215,189
347097731,6
396648484,18
22655994,20018
35926181,1
321912472,23147
36971547,458
406554781,2
10511950,37298
25275710,52
389065320,4
201616878,244
403665486,2
7264643,16
98568340,27310
286730383,225
343887734,0
91421370,8275
220050372,2101
42562070,7
24734976,1440
11255541,4956
110563398,30270
386297433,423
312177468,15
70628503,96
283724706,3
383698129,11
27031270,1974
403004212,2
11215390,2
398200621,69
3400160,17
27174089,106234
33957005,7
7174544,17887
72452393,11823
225103208,11
364132079,3
49278674,1
387260351,8
398485917,269
383803380,69
43889231,1079
314492855,82
404189218,0
123938419,1973830
20392178,181
364679755,7356
8953279,8914
269520821,41083
345278426,15595
25523803,2218
872665,336626
396601838,0
67203434,4805
11233023,0
406563300,1146
285390549,417
352010352,48
2168910,73
108867701,73045
271581710,1
278515693,35138
85681860,459
179634128,3
367247906,0
3425020,16
21837784,1427417
303646466,9935
238594298,316
403881507,2
27000022,49
25273461,18
74218719,22
367413928,60421
9236375,2210
340369905,13494
384180139,93
66308072,9
95493995,1949
324224749,395
194186553,9993
390898500,4024
106841094,0
283225285,0
301194577,40323
397763756,3
345694431,86
402559367,4
330636940,655
77517572,19
253350665,31570
406380532,1129
326107714,636
15861703,2
202338535,11785
2627161,56442
403897745,7
278008917,1
286514191,13529
7487399,1882430
285379407,4688
73237780,59
87719709,254
392238315,15
33025905,0
97131708,275
392171200,10
381521819,719
391815216,59
95092945,1
39004749,16
60548165,4892
66988293,5611
2703428,591
2350792,41
203337614,391734
37276342,2562
22317455,0
45602617,2909
399676658,3
