owner_name,view,share,reply,like,coin,favorite,danmaku,videos,duration,fan
谷阿莫,256072354,307431,633366,866811,909703,528739,1122777,506,175641,2306089
木鱼水心,178005459,713269,684761,1713881,3192877,1528272,1424527,393,398019,2545052
阿斗归来了,118157617,111150,187825,527499,664618,361036,426892,212,89103,1427417
刘老师说电影,104709578,279882,320971,1614248,1172486,373639,608057,212,73300,1234797
刘哔电影,96930314,301554,285656,953125,1134870,357883,659002,264,126196,1322234
牛叔万岁万岁万万岁,77953120,89758,163561,495055,577492,258617,368893,279,147836,704129
蔡老板家的长工,76057494,56218,212846,1027431,1035964,259806,432786,389,258133,663543
电影最TOP,76045726,255226,214396,644706,1187424,611031,928430,144,221425,1481729
老炮电影,65949897,44286,153713,627990,140704,356269,120518,807,220666,491043
奥雷卡尔克斯,65773008,38358,252664,441546,617234,133900,310592,488,203084,457922
穷电影,64458263,23541,104776,429784,116037,280675,101620,437,158480,452215
阿星谈电影,57565616,14066,95256,200013,23397,154211,63960,1001,165355,102737
小片片说大片,54641660,92800,143071,859188,611240,304011,209369,418,117622,606559
宇宙无敌韩三金,53492658,28823,89631,211965,122354,190393,148522,307,114275,479372
我是吃泡面看电影,52991099,15648,61373,168011,22562,212483,54570,361,81732,119893
哇萨比抓马,52592569,50435,139993,565028,385523,202260,160001,566,224097,396575
俗哥看电影,48330030,29017,75556,132293,122666,95479,145919,201,84234,594462
宇哥讲电影,42332536,56768,108059,403676,322630,218493,153888,498,227252,416846
嘻咦啊看,41443743,345440,150223,1280027,2103456,390509,304524,33,28873,1973830
科幻Fans布玛,41000494,18850,87447,306549,120806,153196,97323,394,108875,369743
吐嚎影院,40136973,81454,103006,403101,546456,148690,226688,101,36212,655413
文曰小强,36936279,161317,145031,272015,725353,240552,240809,142,81235,886595
影视新起点,36460617,9580,48178,87613,12157,110540,34937,484,73063,66903
顾九撩电影,32786455,16323,24280,81965,15382,145029,39114,150,43491,84672
科幻梦工场,31802337,19515,73568,208773,125279,127130,127532,241,110300,357806
污了个剧,31071725,10925,99272,33015,5515,39638,55741,1396,167604,52228
小乔讲电影,29869457,7895,42074,89082,14985,93360,32852,408,81755,55519
西瓜看电影,28958133,13302,46137,93980,17005,174935,42755,390,84012,83757
老邪说电影,28727985,133725,144980,953104,625561,177291,274896,136,55262,454988
低调馨说,28597131,9217,40492,105912,16972,120013,40429,310,75724,51829
荒妹讲电影,28449738,6697,51744,116179,24520,110358,49799,320,90193,210279
小涛讲电影,28146169,27160,80322,263166,143999,76522,152208,1125,417463,275730
电影充电站,27897176,8644,48305,120671,20716,99744,29948,1518,283772,61908
努力的Lorre,27618136,193537,125141,753297,752928,303640,218720,41,25678,1882430
一荐电影,27389284,14902,37241,81832,20549,109341,33008,284,73434,82729
越哥说电影,26963144,110446,64143,484664,542848,362775,116231,189,130456,400732
low君热剧,26086605,97116,143712,651266,477018,176556,260891,137,50341,557123
Big笑工坊,25944462,28612,65814,623384,578550,178338,213301,63,48215,991667
莱纳电影bili,25045902,6996,37116,80987,14667,82507,27788,290,70523,62896
瞎看什么,24283584,135187,33855,43194,286369,86952,99331,14,6852,1021987
我是怪异君,24241920,88358,71240,84025,484288,124758,183923,46,33582,649669
暴影君,23535521,18307,36802,75320,66525,92904,68184,122,40488,332728
科幻战舰,22063768,7963,37613,121664,33012,93037,28589,405,97334,128153
小超讲电影,21790961,7184,42729,72271,20024,58120,30649,206,65239,76509
电影黑匣子,21600234,18243,53338,78341,56763,97391,68061,414,106582,296089
天堂电影1895,21279814,13752,21311,75684,50597,101125,24480,185,78325,78140
九点半影视,21134339,5195,83324,41869,10656,29686,42742,336,57183,23856
话很多的小姐姐们,20850055,72226,74048,444230,199657,146323,295061,134,78945,435353
胶片看电影,20389526,24338,53804,163129,87600,88822,52178,123,33279,252988
邦邦电影愿,20365630,6565,41064,129158,37755,60237,47471,195,76390,133376
老电影故事,20311892,21898,71720,320127,213247,107135,102957,430,156166,222712
虫哥说电影,19770902,115135,65700,423412,394574,130266,182489,65,38048,376730
开心嘴炮,19769781,77855,93536,663363,290530,97168,223280,47,21784,391734
看电影了没,19745696,84601,90487,296984,250473,242479,136712,289,187348,284470
三炮笑工坊,19702375,12492,33175,97112,39168,105311,56795,144,61926,150757
小熊猫电影,19568342,9233,29787,57199,21855,90421,18386,462,110479,81833
扁豆看片,19242320,35798,62848,189998,107912,138348,56192,129,57682,313320
丰兄来了,18380850,329475,37028,1512120,1403499,565688,97560,9,2954,660431
南归电影,18247844,6831,35506,40539,11323,81931,18680,392,88562,65342
五更电影,18120710,3625,13409,34436,7514,43389,12431,134,34144,26499
老街森娱,17826711,16110,35723,94853,24845,130304,21480,436,78784,53537
娜娜酱er,17403752,6919,31559,43208,7861,71553,17724,406,93593,41136
八号电影馆,17222907,6492,24512,45958,8059,58060,17156,568,99858,33041
电影狂人A,16881443,18776,69662,88205,57502,93239,40522,158,51428,80001
电影派Mr,16718924,18048,27875,5682,61225,70653,47630,78,22752,303898
晓敏讲故事,16651805,4791,26585,51160,9791,58227,22738,264,71490,29592
0点放映室,16548042,4812,30199,35929,6640,63338,15422,316,70891,32701
一三电影,16403854,6524,27322,46894,9726,58822,13274,425,76819,31647
零点看电影,16367664,9224,19453,44891,8719,59504,17040,213,44962,41646
熊妹撩电影,16283605,7567,15617,90001,33716,71220,29025,100,38053,162076
鸡哥聊电影,15736042,15589,30187,59756,36848,105185,28697,192,62288,91761
松轩说电影,15673678,10108,44436,111235,92218,43277,112107,390,263344,137197
我是一只粽子啊,15590351,58461,93923,165524,179000,132631,141709,138,52375,336626
猎影派,15361226,7370,19640,25644,5992,70079,13798,552,79020,40714
奥德修斯号Odyssey,15054164,9958,16052,77030,15365,77583,24202,16,2808,326580
来呀官人,15052920,32953,48023,200944,173437,107820,83511,111,51255,314027
郭云神奇,14786083,15456,88358,136322,100192,62508,53360,128,32258,185646
喜剧Movie,14782417,6840,22532,21579,7888,70237,17750,174,36844,57971
小杨说电影,14233288,2439,13591,15141,2715,24269,11162,248,67707,10866
独立鱼电影,14183945,21063,29097,32569,112647,91800,60988,87,29739,330132
晓晓说电影,13697796,4997,19953,44634,9598,45245,14698,260,66271,28464
电影漩涡,13509584,10938,36778,28830,24709,56969,39495,373,89859,165269
★⑥檤轮囬★,13505938,29024,65602,116272,215898,57414,122234,59,36531,1317056
食野日记,13499557,1806,9499,17688,3461,32461,11157,556,148604,18413
影视吧啦吧,13193783,6005,29475,50436,12415,70622,26294,400,116539,88644
电剧侠,12456195,20891,77052,170661,105021,77146,90682,316,124891,169522
刘油果今年18岁,12424845,6356,31857,55080,20731,61590,26357,292,99922,76536
闰土说电影,11958975,3008,16681,41822,5397,34122,15403,219,43193,19592
影视狂魔老王,11941394,11150,37178,40834,30599,38349,44615,170,58848,251575
挖沟连李潇洒,11866101,6777,24956,70948,24949,42592,33118,299,77937,99112
小丽说电影,11783070,5906,23708,73235,9457,63962,15899,304,55833,22267
大白话本人啊,11734666,4380,30049,75443,29019,39096,36872,309,95321,113543
大脸电影,11622563,2431,33186,18365,2582,11707,13422,401,39214,5375
影视看点,11551267,2019,12066,11492,2068,22367,6905,488,68833,9437
胡说一通Eetu,11484449,1913,17583,28338,6295,29960,13219,354,86468,17981
浆糊说,11462353,2714,27209,12696,4193,35988,15392,312,52838,38791
麦绿素dustdream,11367694,14223,21357,48688,76258,57989,45013,87,48374,229399
Michael说大片,11151192,2556,40726,24718,4316,22919,21299,252,41856,28020
一朵老香菇解说,11096473,13631,26183,95644,58600,83204,33777,117,45463,155206
戏侃影剧,11080355,2613,17701,7959,898,6748,7207,944,96851,3766
小Q聊电影,11015745,3694,17254,35083,7611,42056,18298,106,40404,40323
新视角解说,11013471,5919,24344,48616,21673,63276,19896,161,47760,84096
小七说电影,11010062,2198,14897,19932,4192,26331,9585,213,37949,13495
理娱打挺疼,11006910,38866,75338,40163,47295,74600,178919,88,33098,426818
爱上撩电影,10928507,2862,12681,25050,4987,46073,11363,187,51102,26452
空空说电影,10914306,7495,23668,42475,12985,54814,17062,137,37148,56059
何舒适,10861254,8126,21190,40598,21232,60772,23741,150,59878,73045
电影不烧口,10644229,2090,10979,13145,2539,27140,7575,186,33851,26900
剧情Movie,10592158,2049,11456,12947,2906,28423,6006,126,25888,27533
一百说大片,10578097,5867,31153,37925,23386,52792,40958,192,43384,96068
糊涂哥说电影,10492260,7246,20340,54802,33725,39091,28647,171,62504,93453
筱旭说电影,10480303,1879,8557,17840,3384,29224,8009,169,52087,15595
一只幺妹,10212786,6812,32685,65534,20230,45538,21218,372,90704,35188
大力学姐,10196523,6739,28592,61594,26909,41093,28228,213,63978,75783
少年看电影,10109901,10767,28953,116446,66775,82455,23347,258,117489,107886
老景观影,10103641,4683,16962,45799,16628,49674,13350,182,64207,58603
老狼电影,10038025,3202,16317,35454,7938,20691,8869,130,20635,27310
幺鸡说电影,9959685,3760,25454,36191,7952,18379,18774,179,42938,26301
大熊观影,9944117,10333,20571,105510,61377,38011,26140,262,104295,94145
倩倩爱八卦,9892968,3636,21345,19509,5255,45078,13488,367,72297,16132
撩电影8,9888084,3281,14883,35838,6558,34803,12926,203,58334,37644
解忧电影站,9848350,8761,20884,60795,22018,43500,24678,278,78703,69234
周墨看电影,9621074,12311,23335,47003,39803,86496,23586,233,93949,94362
我是影Sir,9143876,11454,28997,168210,101337,37059,35727,166,58971,115265
一口丶毒奶,9075969,8622,26710,67149,18499,47461,39682,92,30213,106234
一片烛光,8988927,8099,22524,28247,7758,36353,19546,53,12680,20208
挖宝少女婷,8965410,1191,4593,11420,1777,17978,3633,588,102354,4475
